subject;AQ;group;session;daysInBetween;pictureCondition;cancel;ACC;RT1;RTTot;delta_ACC;delta_RT1;delta_RTTot;roi_efield;P99_efield;perc_overlap;volume_roi;volume_P99;volume_overlap
4;11;1;2;7;5;0;6;20738;24898;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;2;0;3;10405;21303;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;5;0;6;18207;30098;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;2;0;4;18698;67572;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;3;0;6;37147;45970;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;1;0;6;9428;16674;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;5;0;6;37203;53033;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;1;0;6;12792;17772;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;1;0;6;7864;13043;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;2;1;0;22346;34746;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;5;0;4;10494;19539;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;3;0;2;17873;35411;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;3;0;2;37767;45405;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;1;0;6;8042;15908;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;3;0;6;16656;22736;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;2;7;2;0;6;8938;14092;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
5;8;1;1;7;1;0;0;21110;27303;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;5;0;3;21437;41890;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;5;0;0;22569;32746;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;3;0;0;25204;31446;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;2;0;6;44016;50551;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;3;0;0;31813;44722;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;1;0;6;21679;28348;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;3;0;0;20290;31829;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;5;0;0;28981;36510;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;2;0;6;14891;24318;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;5;0;6;26217;34528;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;2;0;6;18886;27050;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;1;0;6;11893;18222;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;1;0;6;12976;18655;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;2;0;6;19842;27166;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;1;7;3;0;3;19976;30431;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;5;0;6;16762;26100;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;1;0;6;11233;15491;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;5;0;6;19030;26283;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;2;0;3;29681;36510;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;3;0;2;34387;42073;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;2;0;6;10812;16757;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;3;1;3;22152;46546;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;5;0;6;13265;19604;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;2;0;6;9500;18708;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;3;0;3;20279;42973;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;1;0;6;7809;13958;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;3;0;6;12226;18805;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;1;0;6;39481;44155;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;1;0;6;7785;12909;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;2;0;6;15767;22603;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
5;8;1;2;7;5;0;3;38042;52083;-2;3348,0625;3134,8125;0,248799793;0,331001019;0,00671441;3185,865067;6101,230614;21,3912045
6;15;1;1;14;2;0;6;9655;15951;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;3;0;0;15608;33412;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;1;0;6;30390;44338;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;5;0;0;17939;31330;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;5;0;3;15463;51883;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;5;0;6;8711;13341;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;1;0;6;18555;25833;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;3;0;6;18361;43655;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;1;1;3;40315;44720;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;2;0;2;15438;19221;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;3;0;2;62736;69505;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;1;0;6;22469;29665;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;5;0;6;26253;33296;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;2;0;6;19779;26084;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;2;1;6;12369;48602;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;1;14;3;0;0;18862;27116;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;5;0;3;27549;32373;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;3;0;0;32996;50340;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;5;0;6;23843;31054;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;2;0;3;41480;60445;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;2;0;6;27008;34706;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;3;0;6;20187;36465;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;1;0;6;16017;22380;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;5;0;6;21434;45307;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;5;0;6;36519;48503;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;2;0;6;9547;18833;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;1;0;6;8649;13172;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;1;1;3;8027;13653;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;2;0;6;19886;32053;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;3;0;6;13305;20219;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;3;0;4;24776;34950;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
6;15;1;2;14;1;0;6;24436;31856;-0,9375;-172,25;1977,6875;0,319773012;0,471922653;0,024598231;2500,606944;6533,723062;61,5105084
7;15;2;1;3;2;1;6;9973;22098;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;2;0;4;13915;27267;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;1;1;6;22166;30105;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
7;15;2;1;3;3;0;2;8971;16507;-1;2164,3125;4210,3125;0,194656438;0,2621275;0,190413283;1984,067017;6913,040045;377,792715
